transaction_id,product_name,category,price,quantity,customer_age,purchase_date,customer_rating,revenue
TXN001,Gaming Laptop,Electronics,1299.99,1,28,2024-01-15,4.5,1299.99
TXN002,Winter Jacket,Clothing,89.99,2,34,2024-01-16,4.2,179.98
TXN003,Python Programming Guide,Books,49.99,1,42,2024-01-17,4.8,49.99
TXN004,Coffee Maker,Home,129.99,1,38,2024-01-18,4.3,129.99
TXN005,Running Shoes,Sports,119.99,1,25,2024-01-19,4.6,119.99
TXN006,Skincare Set,Beauty,79.99,3,31,2024-01-20,4.4,239.97
TXN007,Smartphone,Electronics,699.99,1,29,2024-01-21,4.1,699.99
TXN008,Jeans,Clothing,59.99,2,26,2024-01-22,4.0,119.98
TXN009,Test Widget,Electronics,99.99,1,30,2024-01-23,4.5,99.99
TXN010,Cookbook,Books,29.99,1,45,2024-01-24,4.7,29.99
TXN011,Desk Lamp,Home,45.99,1,33,2024-01-25,4.2,45.99
TXN012,Yoga Mat,Sports,39.99,1,27,2024-01-26,4.5,39.99
TXN013,Moisturizer,Beauty,24.99,2,35,2024-01-27,4.3,49.98
TXN014,Wireless Earbuds,Electronics,199.99,1,24,2024-01-28,4.4,199.99
TXN015,Sweater,Clothing,49.99,1,41,2024-01-29,4.1,49.99
TXN016,Fiction Novel,Books,19.99,3,37,2024-01-30,4.6,59.97
TXN017,Blender,Home,89.99,1,32,2024-01-31,4.3,89.99
TXN018,Tennis Racket,Sports,149.99,1,28,2024-02-01,4.7,149.99
TXN019,Lipstick,Beauty,22.99,4,29,2024-02-02,4.2,91.96
TXN020,Tablet,Electronics,399.99,1,36,2024-02-03,4.5,399.99
TXN021,Dress,Clothing,79.99,1,30,2024-02-04,4.4,79.99
TXN022,Business Book,Books,39.99,1,44,2024-02-05,4.8,39.99
TXN023,Air Fryer,Home,159.99,1,40,2024-02-06,,159.99
TXN024,Basketball,Sports,29.99,2,23,2024-02-07,4.3,59.98
TXN025,Perfume,Beauty,89.99,1,33,2024-02-08,4.6,89.99
TXN026,Monitor,Electronics,299.99,1,31,2024-02-09,4.2,299.99
TXN027,Shirt,Clothing,34.99,3,26,2024-02-10,4.1,104.97
TXN028,Self-Help Book,Books,24.99,1,39,2024-02-11,4.5,24.99
TXN029,Vacuum Cleaner,Home,199.99,1,43,2024-02-12,4.4,199.99
TXN030,Dumbbells,Sports,79.99,1,35,2024-02-13,4.7,79.99
TXN031,Shampoo,Beauty,15.99,2,27,2024-02-14,4.2,31.98
TXN032,Headphones,Electronics,149.99,1,32,2024-02-15,4.3,149.99
TXN033,Pants,Clothing,69.99,1,28,2024-02-16,4.0,69.99
TXN034,Travel Guide,Books,34.99,1,46,2024-02-17,4.6,34.99
TXN035,Toaster,Home,79.99,1,37,2024-02-18,4.1,79.99
TXN036,Soccer Ball,Sports,24.99,1,22,2024-02-19,4.5,24.99
TXN037,Foundation,Beauty,34.99,1,31,2024-02-20,4.4,34.99
TXN038,Keyboard,Electronics,89.99,1,29,2024-02-21,4.2,89.99
TXN039,Hoodie,Clothing,59.99,2,25,2024-02-22,4.3,119.98
TXN040,Test Widget,Electronics,99.99,2,33,2024-02-23,4.5,199.98
TXN041,Science Book,Books,44.99,1,38,2024-02-24,4.7,44.99
TXN042,Microwave,Home,129.99,1,41,2024-02-25,4.3,129.99
TXN043,Swim Goggles,Sports,19.99,1,26,2024-02-26,4.1,19.99
TXN044,Nail Polish,Beauty,12.99,5,30,2024-02-27,4.2,64.95
TXN045,Mouse,Electronics,39.99,1,34,2024-02-28,4.4,39.99
TXN046,Scarf,Clothing,29.99,1,42,2024-02-29,4.0,29.99
TXN047,History Book,Books,29.99,2,48,2024-03-01,4.8,59.98
TXN048,Iron,Home,69.99,1,36,2024-03-02,4.2,69.99
TXN049,Fitness Tracker,Sports,99.99,1,31,2024-03-03,4.6,99.99
TXN050,Eye Cream,Beauty,49.99,1,35,2024-03-04,4.5,49.99
TXN051,Webcam,Electronics,79.99,1,27,2024-03-05,4.1,79.99
TXN052,Socks,Clothing,19.99,4,24,2024-03-06,4.3,79.96
TXN053,Art Book,Books,54.99,1,40,2024-03-07,4.7,54.99
TXN054,Coffee Grinder,Home,89.99,1,45,2024-03-08,4.4,89.99
TXN055,Protein Powder,Sports,49.99,1,28,2024-03-09,4.5,49.99
TXN056,Concealer,Beauty,19.99,2,29,2024-03-10,4.1,39.98
TXN057,Printer,Electronics,199.99,1,38,2024-03-11,4.3,199.99
TXN058,Belt,Clothing,24.99,1,33,2024-03-12,4.2,24.99
TXN059,Photography Book,Books,39.99,1,35,2024-03-13,4.6,39.99
TXN060,Bed Sheets,Home,59.99,1,39,2024-03-14,4.4,59.99
TXN061,Water Bottle,Sports,19.99,3,23,2024-03-15,4.2,59.97
TXN062,Serum,Beauty,39.99,1,32,2024-03-16,4.7,39.99
TXN063,Router,Electronics,129.99,1,41,2024-03-17,4.0,129.99
TXN064,Hat,Clothing,34.99,1,26,2024-03-18,4.1,34.99
TXN065,Cookbook,Books,34.99,1,47,2024-03-19,4.8,34.99
TXN066,Pillow,Home,39.99,2,37,2024-03-20,4.3,79.98
TXN067,Resistance Bands,Sports,29.99,1,30,2024-03-21,4.5,29.99
TXN068,Bronzer,Beauty,29.99,1,28,2024-03-22,,29.99
TXN069,Test Widget,Electronics,99.99,1,34,2024-03-23,4.5,99.99
TXN070,External Drive,Electronics,89.99,1,36,2024-03-24,4.2,89.99
TXN071,Gloves,Clothing,19.99,2,31,2024-03-25,4.0,39.98
TXN072,Magazine,Books,9.99,1,43,2024-03-26,4.4,9.99
TXN073,Cutting Board,Home,24.99,1,40,2024-03-27,4.6,24.99
TXN074,Jump Rope,Sports,14.99,1,25,2024-03-28,4.3,14.99
TXN075,Toner,Beauty,24.99,1,33,2024-03-29,4.1,24.99
TXN076,Speakers,Electronics,149.99,1,29,2024-03-30,4.4,149.99
TXN077,Underwear,Clothing,29.99,3,27,2024-03-31,4.2,89.97
TXN078,Dictionary,Books,24.99,1,50,2024-04-01,4.5,24.99
TXN079,Lamp,Home,49.99,1,42,2024-04-02,4.3,49.99
TXN080,Foam Roller,Sports,39.99,1,32,2024-04-03,4.7,39.99
TXN081,Mascara,Beauty,19.99,1,26,2024-04-04,4.2,19.99
TXN082,Power Bank,Electronics,49.99,1,35,2024-04-05,4.1,49.99
TXN083,Pajamas,Clothing,39.99,1,38,2024-04-06,4.4,39.99
TXN084,Textbook,Books,149.99,1,21,2024-04-07,4.0,149.99
TXN085,Curtains,Home,69.99,1,44,2024-04-08,4.5,69.99
TXN086,Knee Pads,Sports,24.99,1,29,2024-04-09,4.3,24.99
TXN087,Cleanser,Beauty,29.99,1,31,2024-04-10,4.6,29.99
TXN088,Cable,Electronics,19.99,2,33,2024-04-11,4.2,39.98
TXN089,Slippers,Clothing,24.99,1,46,2024-04-12,4.1,24.99
TXN090,Journal,Books,19.99,1,34,2024-04-13,4.7,19.99
TXN091,Candle,Home,19.99,3,37,2024-04-14,4.4,59.97
TXN092,Yoga Block,Sports,19.99,1,28,2024-04-15,4.5,19.99
TXN093,Lip Balm,Beauty,9.99,2,25,2024-04-16,4.2,19.98
TXN094,Charger,Electronics,29.99,1,30,2024-04-17,4.3,29.99
TXN095,Robe,Clothing,49.99,1,41,2024-04-18,4.0,49.99
TXN096,Planner,Books,29.99,1,36,2024-04-19,4.6,29.99
TXN097,Rug,Home,89.99,1,43,2024-04-20,4.4,89.99
TXN098,Protein Bar,Sports,2.99,5,24,2024-04-21,4.1,14.95
TXN099,Sunscreen,Beauty,19.99,1,32,2024-04-22,4.5,19.99
TXN100,USB Hub,Electronics,39.99,1,28,2024-04-23,4.2,39.99
TXN101,Tie,Clothing,19.99,1,35,2024-04-24,4.3,19.99
TXN102,Test Widget,Electronics,99.99,1,29,2024-04-25,4.5,99.99
TXN103,Notebook,Books,14.99,2,39,2024-04-26,4.4,29.98
TXN104,Vase,Home,34.99,1,45,2024-04-27,4.1,34.99
TXN105,Workout Gloves,Sports,19.99,1,26,2024-04-28,4.6,19.99
TXN106,Night Cream,Beauty,44.99,1,33,2024-04-29,4.7,44.99
TXN107,Laptop Stand,Electronics,59.99,1,31,2024-04-30,4.2,59.99
TXN108,Jacket,Clothing,99.99,1,27,2024-05-01,4.0,99.99
TXN109,Calendar,Books,19.99,1,42,2024-05-02,4.5,19.99
TXN110,Mirror,Home,29.99,1,38,2024-05-03,4.3,29.99
TXN111,Shin Guards,Sports,29.99,1,22,2024-05-04,4.1,29.99
TXN112,Blush,Beauty,24.99,1,30,2024-05-05,4.4,24.99
